nome,sobrenome,disciplina,professor,nota
Virginia,Duncan,geografia,Ruth,D
Virginia,Duncan,matematica,John,D
Virginia,Duncan,portugues,Patricia,B
Michael,Butler,filosofia,George,D
Michael,Butler,portugues,Margaret,C
Adrian,Hodges,ingles,Susan,C
Adrian,Hodges,historia,Carol,A
Adrian,Hodges,filosofia,George,C
Justin,Bower,ciencias,Donna,A
Justin,Bower,filosofia,George,D
Justin,Bower,espanhol,Robert,D
Luke,McLean,ingles,Susan,D
Luke,McLean,filosofia,George,A
Luke,McLean,matematica,John,D
Rachel,Ince,matematica,Charles,D
Rachel,Ince,sociologia,Bertie,B
Rachel,Ince,geografia,Dorothy,D
Sonia,Carr,ingles,Susan,C
Sonia,Carr,geografia,Ruth,C
Sonia,Carr,espanhol,Robert,C
Isaac,MacDonald,matematica,John,A
Isaac,MacDonald,ingles,Michael,A
Isaac,MacDonald,artes,Brian,A
Victor,Nash,artes,Brian,A
Victor,Nash,historia,Carol,A
Faith,Wilson,ingles,Susan,B
Faith,Wilson,matematica,Paul,D
Faith,Wilson,filosofia,George,B
Anne,Avery,ciencias,Donna,D
Anne,Avery,artes,Kenneth,B
Sebastian,Roberts,portugues,Margaret,B
Sebastian,Roberts,matematica,John,A
Sebastian,Roberts,biologia,William,C
Sophie,Clark,filosofia,George,D
Sophie,Clark,artes,Kenneth,A
Sophie,Clark,geografia,Ruth,A
Bella,Fisher,artes,Brian,D
Bella,Fisher,sociologia,Bertie,D
Richard,Vaughan,ingles,Susan,B
Richard,Vaughan,geografia,Dorothy,C
Richard,Vaughan,artes,Brian,A
Julia,Dowd,ciencias,Donna,D
Julia,Dowd,biologia,William,A
Julia,Dowd,sociologia,Bertie,D
Diana,Fraser,ingles,Susan,B
Diana,Fraser,matematica,Charles,D
Diana,Fraser,biologia,William,C
Austin,Edmunds,ciencias,Donna,D
Austin,Edmunds,artes,Kenneth,B
Austin,Edmunds,matematica,Donald,A
Tracey,Jackson,ciencias,Donna,B
Tracey,Jackson,portugues,Margaret,B
Tracey,Jackson,filosofia,George,A
Penelope,Scott,biologia,William,B
Penelope,Scott,artes,Kenneth,B
Alison,Henderson,espanhol,Robert,A
Alison,Henderson,biologia,Sarah,B
Alison,Henderson,ingles,Michael,C
Sean,Harris,sociologia,Bertie,D
Sean,Harris,historia,Carol,B
Samantha,Taylor,matematica,Donald,B
Samantha,Taylor,historia,Carol,A
Samantha,Taylor,ingles,Karen,C
Michelle,Payne,ingles,Susan,A
Michelle,Payne,sociologia,Bertie,C
Brandon,Mackenzie,espanhol,Robert,B
Brandon,Mackenzie,matematica,Paul,C
Boris,Greene,ingles,Susan,A
Boris,Greene,matematica,Paul,A
Boris,Greene,historia,Carol,B
Brandon,Berry,ingles,Michael,C
Brandon,Berry,ciencias,Donna,D
Brandon,Berry,matematica,John,B
Grace,North,filosofia,George,D
Grace,North,historia,Carol,D
Grace,North,matematica,Donald,B
Stewart,Arnold,matematica,Paul,A
Stewart,Arnold,geografia,Ruth,D
Oliver,Manning,sociologia,Bertie,B
Matt,Mills,filosofia,George,B
Matt,Mills,ingles,Karen,D
Matt,Mills,artes,Kenneth,A
Deirdre,Anderson,portugues,Patricia,A
Deirdre,Anderson,sociologia,Bertie,A
Deirdre,Anderson,matematica,Charles,B
Nathan,Davidson,artes,Kenneth,D
Nathan,Davidson,biologia,William,D
Nathan,Davidson,filosofia,George,C
Eric,Johnston,filosofia,George,D
Eric,Johnston,historia,Carol,A
Eric,Johnston,matematica,Donald,D
Katherine,Welch,filosofia,George,A
Katherine,Welch,sociologia,Bertie,B
Lillian,Simpson,espanhol,Robert,D
Lillian,Simpson,filosofia,George,D
Lillian,Simpson,geografia,Ruth,A
Michelle,Hamilton,filosofia,George,B
Michelle,Hamilton,portugues,Patricia,B
Amy,Ferguson,sociologia,Bertie,B
Amy,Ferguson,espanhol,Robert,C
Amy,Ferguson,geografia,Ruth,D
Sean,Peters,sociologia,Bertie,D
Sean,Peters,historia,Carol,B
Sean,Peters,portugues,Patricia,B
Piers,Cameron,artes,Brian,C
Piers,Cameron,geografia,Dorothy,C
Piers,Cameron,biologia,Sarah,C
Andrew,Blake,portugues,Elizabeth,B
Andrew,Blake,ciencias,Donna,A
Andrew,Blake,geografia,Ruth,C
Paul,Bailey,artes,Brian,B
Paul,Bailey,ciencias,Donna,C
Paul,Bailey,sociologia,Bertie,A
Faith,Sharp,ciencias,Donna,A
Faith,Sharp,biologia,Sarah,C
Faith,Sharp,portugues,Elizabeth,B
Deirdre,Mills,matematica,Charles,B
Deirdre,Mills,ciencias,Donna,A
Deirdre,Mills,artes,Kenneth,A
Gordon,Avery,ciencias,Donna,A
Gordon,Avery,espanhol,Robert,B
Gordon,Avery,geografia,Dorothy,C
Anna,Thomson,geografia,Ruth,C
Anna,Thomson,matematica,John,A
Anna,Thomson,ciencias,Donna,D
Donna,King,historia,Carol,A
Donna,King,ingles,Michael,A
Sonia,Hudson,geografia,Ruth,C
Sonia,Hudson,sociologia,Bertie,C
Sonia,Hudson,artes,Kenneth,A
Alexander,Johnston,geografia,Ruth,A
Alexander,Johnston,sociologia,Bertie,D
Alexander,Johnston,portugues,Patricia,D
Penelope,Ellison,sociologia,Bertie,B
Penelope,Ellison,filosofia,George,A
Dorothy,Hart,artes,Kenneth,C
Dorothy,Hart,historia,Carol,B
Dorothy,Hart,espanhol,Robert,B
Chloe,Parsons,biologia,Sarah,D
Chloe,Parsons,ingles,Susan,B
Chloe,Parsons,espanhol,Robert,D
Jack,Lawrence,ingles,Karen,D
Jack,Lawrence,historia,Carol,D
Jack,Lawrence,biologia,Sarah,D
Audrey,Young,espanhol,Robert,D
Audrey,Young,filosofia,George,B
William,Terry,ciencias,Donna,B
William,Terry,historia,Carol,C
William,Terry,sociologia,Bertie,B
Harry,Graham,geografia,Dorothy,C
Harry,Graham,portugues,James,B
Harry,Graham,filosofia,George,C
Alexandra,Hill,espanhol,Robert,C
Alexandra,Hill,artes,Brian,C
Alexandra,Hill,geografia,Ruth,B
Madeleine,Gibson,artes,Kenneth,B
Madeleine,Gibson,biologia,Sarah,A
Sophie,Knox,espanhol,Robert,D
Sophie,Knox,matematica,John,A
Sophie,Knox,biologia,Sarah,C
Kimberly,Hamilton,portugues,Patricia,B
Kimberly,Hamilton,ciencias,Donna,A
Kimberly,Hamilton,espanhol,Robert,C
Peter,Metcalfe,ingles,Karen,C
Peter,Metcalfe,portugues,James,A
Peter,Metcalfe,sociologia,Bertie,C
Liam,James,artes,Kenneth,A
Liam,James,biologia,Sarah,B
Liam,James,matematica,Donald,C
Leonard,Cornish,filosofia,George,A
Leonard,Cornish,espanhol,Robert,B
Leonard,Cornish,biologia,Sarah,B
Liam,Roberts,portugues,Elizabeth,D
Liam,Roberts,ingles,Karen,B
Liam,Roberts,filosofia,George,B
Brian,Manning,matematica,Donald,B
Brian,Manning,portugues,Margaret,B
Molly,Howard,portugues,James,B
Molly,Howard,espanhol,Robert,A
Molly,Howard,filosofia,George,C
Joanne,Howard,ingles,Susan,B
Joanne,Howard,filosofia,George,D
Joanne,Howard,espanhol,Robert,D
Warren,Mackenzie,artes,Brian,D
Warren,Mackenzie,portugues,Elizabeth,A
Warren,Mackenzie,espanhol,Robert,D
Ian,Hodges,sociologia,Bertie,A
Ian,Hodges,espanhol,Robert,C
Ian,Hodges,geografia,Dorothy,D
Theresa,Glover,ciencias,Donna,A
Theresa,Glover,ingles,Susan,D
Theresa,Glover,matematica,Donald,C
Nicholas,Avery,biologia,Sarah,D
Nicholas,Avery,espanhol,Robert,C
Nicholas,Avery,sociologia,Bertie,D
Natalie,Lewis,ingles,Susan,A
Natalie,Lewis,ciencias,Donna,A
Natalie,Lewis,artes,Kenneth,A
Faith,Peake,geografia,Ruth,C
Faith,Peake,portugues,Margaret,C
Faith,Peake,artes,Brian,C
Alison,Hemmings,espanhol,Robert,B
Alison,Hemmings,historia,Carol,D
Alison,Hemmings,matematica,John,B
Virginia,Paige,filosofia,George,A
Virginia,Paige,espanhol,Robert,A
Brian,Duncan,espanhol,Robert,B
Brian,Duncan,geografia,Dorothy,D
Phil,Mackay,historia,Carol,B
Phil,Mackay,matematica,John,D
Joan,Vance,geografia,Ruth,A
Joan,Vance,matematica,Charles,C
Joan,Vance,portugues,Margaret,A
Connor,Hamilton,filosofia,George,B
Connor,Hamilton,artes,Kenneth,D
Neil,McLean,biologia,William,D
Neil,McLean,espanhol,Robert,B
Sue,Glover,biologia,William,B
Sue,Glover,espanhol,Robert,A
Sue,Glover,ingles,Susan,B
Alexandra,Tucker,matematica,Donald,A
Alexandra,Tucker,espanhol,Robert,C
Alexandra,Tucker,portugues,Elizabeth,A
Boris,Sutherland,espanhol,Robert,C
Boris,Sutherland,geografia,Ruth,C
Sue,Oliver,artes,Brian,A
Sue,Oliver,sociologia,Bertie,B
Vanessa,Mackay,portugues,Margaret,D
Vanessa,Mackay,ciencias,Donna,C
Vanessa,Mackay,geografia,Ruth,A
Adrian,Grant,historia,Carol,B
Adrian,Grant,ingles,Karen,C
Adrian,Grant,matematica,Charles,A
Warren,Morgan,filosofia,George,A
Warren,Morgan,portugues,Margaret,D
Lily,Cornish,portugues,Patricia,C
Lily,Cornish,espanhol,Robert,A
Evan,Forsyth,ingles,Susan,D
Evan,Forsyth,sociologia,Bertie,D
Evan,Forsyth,biologia,William,B
Sue,Cameron,ingles,Karen,B
Sue,Cameron,geografia,Ruth,D
Leonard,White,artes,Brian,B
Leonard,White,biologia,Sarah,D
Nicola,Sharp,espanhol,Robert,D
Nicola,Sharp,ingles,Karen,B
Nicola,Sharp,portugues,Patricia,B
Sonia,Davidson,historia,Carol,B
Sonia,Davidson,biologia,Sarah,D
Neil,Mackenzie,filosofia,George,B
Neil,Mackenzie,espanhol,Robert,C
Anne,Ogden,biologia,Sarah,D
Anne,Ogden,espanhol,Robert,B
Sam,Alsop,matematica,Charles,D
Sam,Alsop,historia,Carol,D
Sam,Alsop,sociologia,Bertie,C
Alison,Parr,portugues,Patricia,B
Alison,Parr,artes,Brian,D
Alison,Parr,filosofia,George,C
Carl,Alsop,ingles,Susan,B
Carl,Alsop,filosofia,George,A
Carl,Alsop,geografia,Dorothy,C
Alexander,Terry,ingles,Michael,B
Alexander,Terry,sociologia,Bertie,B
Ian,Watson,filosofia,George,D
Ian,Watson,portugues,Elizabeth,C
Ian,Watson,artes,Kenneth,A
Amelia,Duncan,artes,Brian,A
Amelia,Duncan,espanhol,Robert,D
Amelia,Duncan,sociologia,Bertie,B
Piers,Grant,biologia,Sarah,B
Piers,Grant,portugues,Margaret,C
Piers,Grant,historia,Carol,B
Nicola,Walsh,artes,Kenneth,D
Nicola,Walsh,historia,Carol,C
Nicola,Walsh,portugues,Patricia,B
Sam,Robertson,portugues,Elizabeth,B
Sam,Robertson,artes,Brian,C
Sam,Robertson,biologia,William,D
Kevin,Clark,portugues,Elizabeth,C
Kevin,Clark,ingles,Michael,D
Kevin,Clark,sociologia,Bertie,B
Dan,Vaughan,portugues,James,C
Dan,Vaughan,historia,Carol,C
Dan,Vaughan,matematica,John,B
Richard,Alsop,filosofia,George,C
Richard,Alsop,artes,Kenneth,A
Felicity,Blake,filosofia,George,D
Felicity,Blake,biologia,Sarah,C
Felicity,Blake,geografia,Ruth,A
Benjamin,Metcalfe,biologia,Sarah,C
Benjamin,Metcalfe,portugues,Patricia,C
Benjamin,Metcalfe,ingles,Karen,D
Brandon,Martin,historia,Carol,C
Brandon,Martin,biologia,Sarah,B
Donna,Clark,espanhol,Robert,B
Donna,Clark,biologia,William,C
Donna,Clark,sociologia,Bertie,C
Jennifer,Parr,biologia,Sarah,D
Jennifer,Parr,historia,Carol,C
Jennifer,Parr,matematica,Charles,D
Frank,King,espanhol,Robert,A
Frank,King,portugues,Elizabeth,A
Frank,King,ingles,Karen,A
Sarah,Carr,matematica,Paul,D
Sarah,Carr,sociologia,Bertie,B
Sarah,Carr,biologia,William,D
Gavin,Peake,sociologia,Bertie,A
Gavin,Peake,historia,Carol,C
Gavin,Peake,matematica,Donald,D
Deirdre,Lyman,espanhol,Robert,C
Deirdre,Lyman,artes,Brian,C
Deirdre,Lyman,matematica,Paul,C
Amelia,Black,biologia,William,A
Amelia,Black,historia,Carol,C
Amelia,Black,matematica,Charles,B
Nathan,Reid,artes,Kenneth,B
Nathan,Reid,biologia,William,B
Nathan,Reid,ingles,Karen,D
Blake,Parsons,artes,Brian,A
Blake,Parsons,filosofia,George,C
Blake,Parsons,historia,Carol,B
John,Vaughan,ingles,Susan,D
John,Vaughan,matematica,Donald,D
John,Vaughan,historia,Carol,D
Tim,Rutherford,portugues,James,C
Tim,Rutherford,artes,Kenneth,D
Tim,Rutherford,ciencias,Donna,A
James,Gray,portugues,Margaret,B
James,Gray,geografia,Dorothy,A
James,Gray,matematica,Donald,C
Robert,Pullman,espanhol,Robert,C
Robert,Pullman,artes,Kenneth,C
Robert,Pullman,sociologia,Bertie,B
Ian,Edmunds,matematica,John,A
Ian,Edmunds,filosofia,George,B
Ian,Edmunds,sociologia,Bertie,B
Wendy,Stewart,artes,Kenneth,C
Wendy,Stewart,matematica,Charles,D
Wendy,Stewart,portugues,Patricia,B
Austin,Fisher,filosofia,George,B
Austin,Fisher,historia,Carol,D
Austin,Fisher,biologia,Sarah,D
Edward,Vance,historia,Carol,D
Edward,Vance,artes,Brian,A
Edward,Vance,espanhol,Robert,D
Liam,Black,historia,Carol,A
Liam,Black,biologia,Sarah,D
Liam,Black,espanhol,Robert,D
Wendy,Hudson,portugues,Margaret,A
Wendy,Hudson,ingles,Karen,D
Wendy,Hudson,biologia,William,B
Stephanie,Sutherland,filosofia,George,D
Stephanie,Sutherland,ingles,Susan,D
Stephanie,Sutherland,historia,Carol,B
Lucas,Young,matematica,Donald,A
Lucas,Young,ciencias,Donna,D
Lucas,Young,portugues,Elizabeth,D
Steven,Taylor,portugues,Patricia,D
Steven,Taylor,artes,Brian,D
Steven,Taylor,espanhol,Robert,C
James,James,historia,Carol,B
James,James,ciencias,Donna,A
James,James,geografia,Dorothy,C
Max,Blake,filosofia,George,B
Max,Blake,ciencias,Donna,A
Kimberly,Randall,portugues,Elizabeth,B
Kimberly,Randall,filosofia,George,C
Kimberly,Randall,espanhol,Robert,A
Samantha,Payne,filosofia,George,A
Samantha,Payne,portugues,Margaret,B
Samantha,Payne,biologia,Sarah,C
Amy,Payne,sociologia,Bertie,B
Amy,Payne,matematica,John,B
Amy,Payne,artes,Kenneth,D
Dylan,Tucker,artes,Kenneth,B
Dylan,Tucker,ciencias,Donna,D
Dylan,Tucker,filosofia,George,C
Stewart,Langdon,biologia,Sarah,A
Stewart,Langdon,geografia,Ruth,A
Megan,Bower,biologia,Sarah,C
Megan,Bower,portugues,Patricia,A
Megan,Bower,espanhol,Robert,D
Lisa,MacDonald,espanhol,Robert,B
Lisa,MacDonald,sociologia,Bertie,A
Lisa,MacDonald,portugues,James,C
Emily,Tucker,sociologia,Bertie,D
Emily,Tucker,artes,Brian,D
Emily,Tucker,matematica,Donald,B
Kylie,Anderson,historia,Carol,D
Kylie,Anderson,geografia,Dorothy,D
Kylie,Anderson,ciencias,Donna,D
Eric,Mathis,filosofia,George,B
Eric,Mathis,historia,Carol,C
Eric,Mathis,portugues,Elizabeth,C
Trevor,Reid,matematica,Charles,A
Trevor,Reid,artes,Brian,B
Trevor,Reid,espanhol,Robert,A
Ian,Vaughan,espanhol,Robert,B
Ian,Vaughan,ciencias,Donna,D
Ian,Vaughan,biologia,William,A
Alexandra,Bond,matematica,Donald,B
Alexandra,Bond,historia,Carol,B
Amy,Arnold,portugues,Margaret,A
Amy,Arnold,historia,Carol,A
Amy,Arnold,geografia,Ruth,B
Lucas,Dowd,espanhol,Robert,B
Lucas,Dowd,sociologia,Bertie,D
Lucas,Dowd,ciencias,Donna,B
Emma,Smith,artes,Brian,A
Emma,Smith,espanhol,Robert,B
Dorothy,James,matematica,Paul,B
Dorothy,James,espanhol,Robert,C
Nathan,Mills,portugues,Patricia,C
Nathan,Mills,geografia,Ruth,A
Nathan,Mills,matematica,John,A
William,Underwood,geografia,Dorothy,B
William,Underwood,historia,Carol,D
William,Underwood,filosofia,George,C
Andrew,Mackay,biologia,Sarah,A
Andrew,Mackay,matematica,Paul,C
Andrew,Mackay,historia,Carol,B
Christian,Johnston,historia,Carol,D
Christian,Johnston,geografia,Ruth,C
Christian,Johnston,ingles,Karen,A
Nicholas,Hughes,matematica,Charles,C
Nicholas,Hughes,ciencias,Donna,A
Nicholas,Hughes,artes,Kenneth,D
Ava,King,portugues,Patricia,A
Ava,King,ciencias,Donna,B
Ava,King,historia,Carol,B
Gordon,Rees,ingles,Karen,C
Gordon,Rees,biologia,William,D
Bernadette,Bell,artes,Brian,B
Bernadette,Bell,ingles,Michael,B
Bernadette,Bell,geografia,Ruth,A
Thomas,Buckland,ingles,Karen,B
Thomas,Buckland,matematica,Charles,B
Thomas,Buckland,espanhol,Robert,A
Zoe,Paterson,sociologia,Bertie,D
Zoe,Paterson,espanhol,Robert,B
Zoe,Paterson,geografia,Ruth,C
Kylie,Parsons,geografia,Ruth,D
Kylie,Parsons,sociologia,Bertie,B
Simon,Sharp,portugues,Margaret,D
Simon,Sharp,biologia,Sarah,D
Simon,Sharp,matematica,Paul,A
Cameron,Sanderson,espanhol,Robert,B
Cameron,Sanderson,ingles,Michael,B
Cameron,Sanderson,matematica,Paul,B
Virginia,Brown,biologia,Sarah,B
Virginia,Brown,matematica,Paul,A
Emma,Short,artes,Kenneth,B
Emma,Short,portugues,James,C
Lillian,Alsop,portugues,Margaret,C
Lillian,Alsop,matematica,Donald,A
Lillian,Alsop,espanhol,Robert,D
Gabrielle,Scott,historia,Carol,D
Gabrielle,Scott,biologia,William,B
Gabrielle,Scott,espanhol,Robert,C
James,Blake,biologia,Sarah,A
James,Blake,artes,Brian,D
James,Blake,historia,Carol,B
Abigail,Underwood,biologia,William,C
Abigail,Underwood,matematica,John,B
Abigail,Underwood,espanhol,Robert,B
Felicity,Hodges,historia,Carol,B
Felicity,Hodges,sociologia,Bertie,B
Felicity,Hodges,biologia,Sarah,C
Tracey,Wilson,portugues,Patricia,D
Tracey,Wilson,matematica,John,D
Brandon,Oliver,biologia,William,A
Brandon,Oliver,filosofia,George,A
Brandon,Oliver,ingles,Susan,C
Thomas,Nolan,sociologia,Bertie,D
Thomas,Nolan,geografia,Dorothy,D
Thomas,Nolan,artes,Kenneth,C
Maria,Randall,portugues,Elizabeth,D
Maria,Randall,matematica,Donald,B
Maria,Randall,historia,Carol,A
Andrew,Davidson,geografia,Ruth,B
Andrew,Davidson,filosofia,George,B
Andrew,Davidson,portugues,Margaret,D
Stephen,Jones,ciencias,Donna,A
Stephen,Jones,biologia,Sarah,D
Stephen,Jones,sociologia,Bertie,B
Anne,Scott,biologia,Sarah,A
Anne,Scott,portugues,Margaret,B
Dorothy,Greene,geografia,Ruth,C
Dorothy,Greene,sociologia,Bertie,C
Dorothy,Greene,espanhol,Robert,D
Simon,Black,espanhol,Robert,A
Simon,Black,portugues,Margaret,A
Simon,Black,ciencias,Donna,C
Joseph,Parsons,ingles,Karen,B
Joseph,Parsons,portugues,Patricia,A
Joseph,Parsons,espanhol,Robert,A
Christopher,Payne,matematica,Paul,A
Christopher,Payne,artes,Brian,A
Christopher,Payne,historia,Carol,A
Joan,Peake,ciencias,Donna,C
Joan,Peake,historia,Carol,A
Joan,Peake,biologia,William,D
Colin,Young,biologia,Sarah,D
Colin,Young,matematica,John,C
Colin,Young,espanhol,Robert,C
Evan,Taylor,artes,Kenneth,A
Evan,Taylor,matematica,John,D
Evan,Taylor,historia,Carol,B
Matt,Morrison,ciencias,Donna,D
Matt,Morrison,ingles,Karen,C
Matt,Morrison,sociologia,Bertie,C
Donna,North,filosofia,George,C
Donna,North,biologia,William,A
Abigail,Graham,geografia,Dorothy,D
Abigail,Graham,sociologia,Bertie,D
Abigail,Graham,artes,Brian,D
Claire,Graham,matematica,Charles,C
Claire,Graham,biologia,Sarah,C
Claire,Graham,espanhol,Robert,A
Andrew,Slater,matematica,Charles,D
Andrew,Slater,ingles,Susan,D
Andrew,Slater,portugues,Elizabeth,D
Yvonne,Randall,geografia,Ruth,A
Yvonne,Randall,biologia,William,B
Richard,Rampling,espanhol,Robert,A
Richard,Rampling,biologia,Sarah,B
Richard,Rampling,portugues,Patricia,A
Sally,Vaughan,portugues,Elizabeth,B
Sally,Vaughan,ingles,Michael,D
Wendy,Peters,geografia,Dorothy,B
Wendy,Peters,matematica,John,A
Dominic,Martin,filosofia,George,D
Dominic,Martin,historia,Carol,B
Dominic,Martin,portugues,Elizabeth,D
Luke,Hemmings,historia,Carol,C
Luke,Hemmings,filosofia,George,B
Andrew,Peters,ingles,Michael,C
Andrew,Peters,sociologia,Bertie,C
Andrew,Peters,ciencias,Donna,C
Michelle,Taylor,ciencias,Donna,A
Michelle,Taylor,sociologia,Bertie,D
Michelle,Taylor,artes,Kenneth,C
Blake,Rampling,filosofia,George,B
Blake,Rampling,matematica,Charles,B
Blake,Rampling,portugues,Margaret,C
Victor,Edmunds,filosofia,George,A
Victor,Edmunds,historia,Carol,B
Victor,Edmunds,ingles,Karen,A
Theresa,Terry,artes,Kenneth,A
Theresa,Terry,biologia,William,C
Theresa,Terry,portugues,Elizabeth,A
Joanne,Brown,ciencias,Donna,B
Joanne,Brown,portugues,James,C
Joanne,Brown,geografia,Ruth,A
Cameron,Sutherland,biologia,William,D
Cameron,Sutherland,espanhol,Robert,B
Cameron,Sutherland,artes,Brian,A
Anthony,White,historia,Carol,D
Anthony,White,matematica,Donald,D
Anthony,White,artes,Kenneth,A
Christopher,Poole,geografia,Ruth,D
Christopher,Poole,ciencias,Donna,B
Christopher,Poole,ingles,Susan,C
Benjamin,Walsh,biologia,William,C
Benjamin,Walsh,portugues,Elizabeth,C
Benjamin,Walsh,ingles,Michael,C
Jennifer,Wilson,artes,Brian,B
Jennifer,Wilson,espanhol,Robert,A
Jennifer,Wilson,historia,Carol,A
Julian,Abraham,ingles,Susan,B
Julian,Abraham,artes,Brian,B
Bella,Ince,portugues,James,D
Bella,Ince,artes,Brian,B
Bella,Ince,geografia,Ruth,C
Dan,Wilkins,geografia,Ruth,B
Dan,Wilkins,historia,Carol,A
Dan,Wilkins,ingles,Karen,A
Carl,Pullman,sociologia,Bertie,C
Carl,Pullman,biologia,Sarah,B
Carl,Pullman,ciencias,Donna,B
Angela,Jackson,ingles,Susan,A
Angela,Jackson,matematica,Charles,B
Angela,Jackson,portugues,James,B
Kimberly,Davies,ingles,Karen,D
Kimberly,Davies,filosofia,George,B
Michelle,Bond,espanhol,Robert,B
Michelle,Bond,geografia,Dorothy,A
Michelle,Bond,artes,Brian,D
Richard,Peters,filosofia,George,B
Richard,Peters,ingles,Karen,C
Richard,Peters,geografia,Ruth,A
Leonard,Stewart,portugues,James,C
Leonard,Stewart,sociologia,Bertie,C
Leonard,Stewart,espanhol,Robert,C
Max,Vaughan,portugues,James,C
Max,Vaughan,geografia,Dorothy,B
Max,Vaughan,ciencias,Donna,C
Emily,Butler,ciencias,Donna,D
Emily,Butler,sociologia,Bertie,D
Emily,Butler,espanhol,Robert,C
Stewart,Dowd,espanhol,Robert,C
Stewart,Dowd,filosofia,George,D
Stewart,Dowd,portugues,James,C
Kevin,Sutherland,filosofia,George,A
Kevin,Sutherland,matematica,Charles,B
Kevin,Sutherland,ciencias,Donna,C
Owen,Mackenzie,artes,Brian,B
Owen,Mackenzie,sociologia,Bertie,D
